INDIKATOR_ID;INDIKATOR_NAME;INDICATOR_NAME_EN;EINHEIT_LANG (UNIT);QUELLE;BESCHREIBUNG;DESCRIPTION_EN
1141;99 Abschreibungen auf Verwaltungsvermögen (Nettoaufw.);99 Depreciation of administrative assets (net expenses);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nettoaufwand für Verwaltungsvermögen, Abschreibungen auf Verwaltungsvermögen und Einlage in Vorfinanzierung aus Gewinnverwendung. Ein negativer Wert bedeutet, dass die Einnahmen (Ertrag) grösser sind als die Ausgaben (Aufwand).  ;Net expenses for administrative assets, depreciation of administrative assets and contribution in pre-financing from the appropriation of profits. A negative value means that the income (income) is greater than the expenditure (expense).
1142;0 Bürgerschaft, Behörden, Verwaltung (Bruttoaufwand);0 citizenship, authorities, administration (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für Bürgerversammlung, Abstimmungen, Wahlen, Geschäftsprüfungskommission oder Parlament, Gemeinderat, Stadtrat, Kommissionen, Schulrat, allgemeine Verwaltung, Verwaltungsgebäude und öffentliche Anlässe. ;Gross expenditure for citizens' assemblies, votes, elections, business audit committee or parliament, local council, city council, commissions, school board, general administration, administration building and public events.
1143;1 Öffentliche Sicherheit (Bruttoaufwand);1 public safety (gross expense);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für Rechtsaufsicht, Polizei, Rechtsprechung, Feuerwehr, Militär, Zivilschutz und Sicherheitsverbund. ;Gross expenditure for legal supervision, police, judiciary, fire brigade, military, civil defense and security association.
1144;2 Bildung (Bruttoaufwand);2 education (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für Volksschulen, Sonderschulen, allgemeinbildende Schulen, höhere Berufsschulen, Hochschulen, Forschung und übrige Bildungsstätten. ;Gross expenditure for elementary schools, special schools, general education schools, higher vocational schools, universities, research and other educational institutions.
1145;3 Kultur, Freizeit (Bruttoaufwand);3 culture, leisure time (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für Kulturförderung, Denkmalpflege, Heimatschutz, Medien, Parkanlagen, Wanderwege, Sport, und übrige Freizeitgestaltung. ;Gross expenditure for cultural promotion, monument preservation, heritage protection, media, parks, hiking trails, sports and other leisure activities.
1146;4 Gesundheit (Bruttoaufwand);4 health (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für Spitäler, Kranken- und Pflegeheime, ambulante Pflegefinanzierung, ambulante Krankenpflege, Geburtshilfe, Schulgesundheitsdienst, Lebensmittelkontrolle und übriges Gesundheitswesen. ;Gross expenditure for hospitals, hospitals and nursing homes, outpatient care financing, outpatient nursing, obstetrics, school health service, food control and other health care.
1147;5 Soziale Wohlfahrt (Bruttoaufwand);5 social welfare (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für Sozialversicherungen, allgemeine Sozialhilfe, Kinder und Jugendliche, Invalidität, sozialen Wohnungsbau, Alters- und Pflegeheim, finanzielle Sozialhilfe, humanitäre Hilfen und Patenschaften. ;Gross expenses for social insurance, general social assistance, children and young people, disability, social housing, retirement and nursing homes, financial social assistance, humanitarian aid and sponsorships.
1148;6 Verkehr (Bruttoaufwand);6 Transport (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für Staats- und Gemeindestrassen, öffentlichen Verkehr, Schifffahrt und Hafenanlagen. ;Gross expenditure for state and municipal roads, public transport, shipping and port facilities.
1149;7 Umwelt, Raumordnung (Bruttoaufwand);7 Environment, spatial planning (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für Wasserversorgung, Abwasser- und Abfallbeseitigung, übrigen Umweltschutz, Friedhof, Bestattungen, Gewässer- und Lawinenverbauungen, Raumplanung und Naturschutz. ;Gross expenditure for water supply, sewage and waste disposal, other environmental protection, cemetery, burials, water and avalanche barriers, spatial planning and nature conservation.
1150;8 Volkswirtschaft (Bruttoaufwand);8 Economics (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für Land- und Forstwirtschaft, Jagd, Fischerei, Tierschutz, Tourismus, kommunale Werbung, Industrie, Gewerbe, Handel, Energie und gewerbliche Betriebe. ;Gross expenditure for agriculture and forestry, hunting, fishing, animal welfare, tourism, communal advertising, industry, commerce, trade, energy and commercial operations.
1151;9 Finanzen (Bruttoaufwand);9 Finances (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für Gemeindesteuern, Finanzausgleich, Einnahmenanteile, Liegenschaften Finanzvermögen, Zinsen, Erträge ohne Zweckbindung, Allgemeine und nicht aufteilbare Posten und Abschreibungen auf Verwaltungsvermögen. ;Gross expenditure for municipal taxes, financial equalization, revenue shares, real estate financial assets, interest, income without earmarking, general and non-divisible items and depreciation on administrative assets.
1152;00 Bürgervers., Abstimmungen, Wahlen (Bruttoaufwand);00 citizens' association, votes, elections (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für Abstimmungen, Amtsbericht, Bürgerversammlung, Gutachten mit Antrag, Jahresrechnung, Stimmenzähler, Voranschlag und Wahlen. ;Gross expenditure for votes, official report, citizens' meeting, expert opinion with application, annual accounts, vote counter, budget and elections.
1153;01 Geschäftsprüf.komm. od. Parlament (Bruttoaufw.);01 Business auditor comm. or parliament (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für Aufsichtsprüfungen des Departementes des Innern, für externe Revisionsstelle, Geschäftsprüfungskommission und Parlament. ;Gross expenditure for supervisory audits by the Department of Home Affairs, for external auditors, business audit commission and parliament.
1154;02 Gemeinderat, Stadtrat, Kommissionen (Bruttoaufwand);02 Municipal council, city council, commissions (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für Bussen, das Gemeindepräsidium (Lohnanteil für Behördenaufgaben), den Gemeinderat, Kommissionen (z.B. Heimkommission), das Stadtpräsidium (Lohnanteil für Behördenaufgaben), den Stadtrat, die Vereinigung St.Galler Gemeindepräsidien (VSGP) und allfällige Gemeindevereinigung. ;Gross expenditure for buses, the municipal presidium (wage share for official duties), the municipal council, commissions (e.g. home commission), the city presidium (wage share for official duties), the city council, the St.Gallen municipal presidium (VSGP) and any municipal association.
1155;03 Schulrat (Bruttoaufwand);03 School board (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für den Schulrat, schulrätliche Kommissionen und das Schulratspräsidium. ;Gross expenditure for the school council, school council commissions and the school council presidium.
1156;04 Allgemeine Verwaltung (Bruttoaufwand);04 General administration (gross expenses);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für die allgemeine Verwaltung, Amtsbürgschaft, Anwaltskosten, Archiv, Auskünfte, Baubewilligungen, Baukontrollen, Baupolizei, Bausekretariat, Bauverwaltung, Bauverwaltungsgebühren, Betreibungsamt, Betriebsbewilligungen, Bezugsprovisionen von Bund, Kanton und Kirchgemeinden, Datenschutzbeauftragte, Einbürgerungsgebühren, Einwohneramt, Fachverbände, Finanzplanung, Finanzverwaltung, Gebührenerträge, Gemeindepräsidium (Lohnanteil für Verwaltungsaufgaben), Gemeinderatskanzlei, Gemeindesteueramt, Hundekontrolle, Informatik, Kassendifferenzen, Kontrollstelle für Krankenversicherung, Lehrlingsausbildung (Verwaltung), Lottoveranstaltungen, Mitteilungsblatt, Personalanlässe, Polizeistundenverlegungen, Rechnungsführung für Gemeindeunternehmen, Rechnungsführung für Orts-, Schul- und Kirchgemeinden, Rechnungsführung für Zweckverbände, Sektionschef, Stadtpräsidium (Lohnanteil für Verwaltungsaufgaben), Steuerveranlagungsentschädigungen, Tombolaveranstaltungen, Verkaufs- und Handelsbewilligungen, Versteigerungen, Verwaltungsgebühren, Verwaltungskostenentschädigungen, Volkszählung, Wanderlagerbewilligungen, Weibeldienst, Wirtschaftspatente, Wohnungsamt und Zivilstandsamt. ;Gross expenses for general administration, official guarantee, lawyer fees, archive, information, building permits, building inspections, building police, building secretariat, building administration, building administration fees, debt enforcement office, operating licenses, commission from the federal government, canton and parishes, data protection officer, naturalization fees, residents' office, financial administration, financial planning Fee income, municipal presidium (wage share for administrative tasks), municipal council office, municipal tax office, dog control, IT, cash differences, control point for health insurance, apprenticeship training (administration), lottery events, newsletters, staff events, police hours, accounting for municipal companies, accounting for local, school and church communities, Accounting for special-purpose associations, head of section, city council (wage share for administrative tasks), tax assessment allowances, raffle events, sales and trade permits Publications, auctions, administrative fees, administrative cost reimbursements, census, migrant camp permits, women service, business patents, housing office and civil registry office.
1157;07 Verwaltungsgebäude (Bruttoaufwand);07 Administration building (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für Archiv, Büros der allgemeinen Verwaltung, Gemeindehaus, Rathaus, Verwaltungsgebäude und Wohnungen im Verwaltungsgebäude. ;Gross expenditure for archive, general administration offices, parish hall, town hall, administration building and apartments in the administration building.
1158;08 Öffentliche Anlässe (Bruttoaufwand);08 Public events (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für Beflaggung, Begrüssungen, Bundesfeier, Empfänge, Festanlässe, Geburtstage von Betagten, Jubiläumsfeier, Jungbürgerfeier, Repräsentationen und Traueranlässe. ;Gross expenditure for flags, greetings, national celebrations, receptions, celebratory events, birthdays of the elderly, anniversary celebrations, celebrations for young people, representations and funeral occasions.
1159;10 Rechtsaufsicht (Bruttoaufwand);10 legal supervision (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für die amtliche Vermessung, Brückenwaage, Eichmeister, geografisches Informationssystem (GIS), Geometer, Grundbuchamt, Grundbuchvermessung, Preiskontrollstelle, Rechtsaufsicht, Schätzungswesen und Schlichtungsstelle für Miet- und Pachtverhältnisse. ;Gross expenditure for official surveying, weighbridge, calibration supervisor, geographical information system (GIS), geometer, land registry, land registry survey, price control office, legal supervision, appraisal and arbitration board for tenancy and lease agreements.
1160;11 Polizei (Bruttoaufwand);11 police (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für Kantonspolizei, Polizei (Gemeindepolizei, Securitas), Stadtpolizei und die kantonale Notrufzentrale. ;Gross expenses for the canton police, police (community police, Securitas), city police and the cantonal emergency call center.
1161;12 Rechtssprechung (Bruttoaufwand);12 jurisprudence (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für das Vermittleramt. ;Gross expenses for the agency.
1162;14 Feuerwehr (Bruttoaufwand);14 fire brigade (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für Chemiewehr-Stützpunkte, Feuerschauer, Feuerschutzbeamten, Feuerwehr, Feuerwehrgebäude, Heustockkontrollen, Hydrantennetz, Regionaler Stützpunkt, Schadenwehr, Strassenrettungen sowie Verkehrs- und Ordnungsdienst. ;Gross expenditure for chemical defense bases, fire showers, fire protection officers, fire brigade, fire brigade building, haystack controls, hydrant network, regional base, damage service, road rescue services as well as traffic and security services.
1163;15 Militär (Bruttoaufwand);15 military (gross expenditure);Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoaufwand für Einquartierungen in Truppenunterkunft, Militär, Ortsquartiermeister, Schiessanlagen und Schützenvereine. ;Gross expenditure for billeting in troop accommodation, the military, local quartermasters, shooting ranges and rifle clubs.
